match_id,type,minute,team,player,player_out,detail
3839463,yellow,32,home,Alex-Jason Osamagumwende Amadin,,
3839463,substitution,32,home,Fabio Arencibia Santana,,
3839463,yellow,HZ,away,Wesley Danso Agyekum Frimpong,,
3839463,substitution,HZ,away,Tarik Brkic,,
3839463,yellow,56,away,Serigne Fall,,
3839463,substitution,56,away,Nael Mamadou Lamine Kane,,
3839463,yellow,59,home,Sefiwu Abubakar,,
3839463,substitution,59,home,Joris Boguo,,
3839463,yellow_red,66,home,Jonas Karl Ablinger,,
3839463,yellow,71,home,Oliver Koplarovics,,
3839463,substitution,71,home,Loiange Delphin Ondoa Belinga,,
3839463,yellow,77,away,Jakob Wanker,,
3839463,yellow,77,away,Sölvi Snaer Asgeirsson,,
3839463,substitution,77,away,Vincent Jonah Augustus,,
3839463,substitution,77,away,Tryphose Aime Queyre Tchicamboud,,
3839463,yellow_red,81,away,Gabriel Zirngast,,
3839463,yellow,83,away,Kaden Bauer De Jarnette,,
3839463,substitution,83,away,Armin Haider,,
3839463,substitution,U19,home,,Lejs Nezic,
3839463,substitution,U21,home,,Loiange Delphin Ondoa Belinga,
3839463,substitution,U19,home,,Jonas Karl Ablinger,
3839463,substitution,U20,home,,Bence Balabás,
3839463,substitution,U20,home,,Nico Forobosko,
3839463,substitution,U19,home,,Conrad Scholl,
3839463,substitution,U21,home,,Philip Weissenbacher,
3839463,substitution,U19,home,,Nevio Zotz,
3839463,substitution,U19,home,,Joris Boguo,
3839463,substitution,U21,home,,Fabio Arencibia Santana,
3839463,substitution,U18,home,,Benaja Marlon Frey,
3839463,substitution,U19,home,,Benjamin Kiesl,
3839463,substitution,U19,home,,Oliver Koplarovics,
3839463,substitution,U18,home,,Elias Krain,
3839463,substitution,U22,home,,Sefiwu Abubakar,
3839463,substitution,U19,home,,Alex-Jason Osamagumwende Amadin,
3839463,substitution,U21,away,,Carlo Jurak,
3839463,substitution,U21,away,,Cheikne Kebe,
3839463,substitution,U20,away,,Filip Perovic,
3839463,substitution,U20,away,,Tarik Brkic,
3839463,substitution,U20,away,,Vincent Jonah Augustus,
3839463,substitution,U20,away,,Armin Midzic,
3839463,substitution,U21,away,,Tryphose Aime Queyre Tchicamboud,
3839463,substitution,U21,away,,Alpha Kassaynabo Balde,
3839463,substitution,U21,away,,Armin Haider,
3839463,substitution,U20,away,,Nael Mamadou Lamine Kane,
3839463,substitution,U20,away,,Moritz Schrenk,
3839463,substitution,U19,away,,Kaden Bauer De Jarnette,
3839463,substitution,U21,away,,Serigne Fall,
3839463,substitution,U22,away,,Wesley Danso Agyekum Frimpong,
3839463,substitution,U19,away,,Jakob Wanker,
3839463,substitution,U18,away,,Sölvi Snaer Asgeirsson,
3839515,yellow,64,away,Timo Metzner,,
3839515,yellow,64,away,Michael Loder,,
3839515,substitution,64,away,Fabian Lenhart,,
3839515,substitution,64,away,Niko Johann Lieber,,
3839515,yellow_red,66,away,Michael Loder,,
3839515,yellow_red,68,away,Felix Schlemmer,,
3839515,yellow_red,70,away,Timo Metzner,,
3839515,yellow,73,home,Gasper Koritnik,,
3839515,yellow,73,home,Belmin Cirkic,,
3839515,substitution,73,home,Dino Kovacevic,,
3839515,substitution,73,home,Adamson Sharafa,,
3839515,yellow,73,away,Andre Dirnberger,,
3839515,yellow,73,away,Christian Berger,,
3839515,substitution,73,away,Lejs Plicanic,,
3839515,substitution,73,away,Leon Wlattnig,,
3839515,yellow,80,away,Tobias Schöggl,,
3839515,substitution,80,away,Felix Schlemmer,,
3839515,yellow,85,home,Valdir Henrique Barbosa da Silva,,
3839515,substitution,85,home,Jonathan Ndubisi Alukwu,,
3839515,yellow,90,home,Nico Wiesinger,,
3839515,substitution,90,home,Toni Barisic,,
3839515,substitution,U21,home,,Sebastian Leitner,
3839515,substitution,U22,away,,Niko Johann Lieber,
3839515,substitution,U19,away,,Tobias Schöggl,
3839515,substitution,U20,away,,Timo Metzner,
3839515,substitution,U22,away,,Michael Loder,
3839515,substitution,U20,away,,Andre Dirnberger,
3839491,yellow,24,home,Silvio Pigac,,
3839491,goal,25,home,Thomas Hirschhofer,,
3839491,yellow,27,away,Philipp Sick,,
3839491,goal,31,away,Paolo Jager,,
3839491,yellow,35,home,Daniel Steinwender,,
3839491,substitution,HZ,away,Daniel Lukas Saurer,Philipp Sick,
3839491,yellow,63,home,Markus Farnleitner,,
3839491,substitution,66,away,Fabian Schubert,Martin Krienzer,
3839491,yellow,75,away,Andreas Pfingstner,,
3839491,substitution,76,away,Daniel Goriupp,Paolo Jager,
3839491,substitution,77,home,Florian Weiler,Christoph Urdl,
3839491,yellow,78,away,Daniel Goriupp,,
3839491,substitution,82,home,Noah Leitold,Niko Salika,
3839551,yellow_red,46,home,Philipp Mitter,,
3839551,yellow_red,52,home,Erwin Softic,,
3839551,yellow,64,away,Nico Zürngast,,
3839551,substitution,64,away,Martin Murg,,
3839551,yellow,67,home,Jakob Karlinger,,
3839551,yellow,67,home,Michael Wild,,
3839551,substitution,67,home,Eduard Josef Haas,,
3839551,substitution,67,home,Hannes Huber,,
3839551,yellow,76,away,Sebastian Gabbichler,,
3839551,substitution,76,away,Tine Pori,,
3839551,yellow,80,home,Elias Zaki,,
3839551,substitution,80,home,Emmanuel Acheampong,,
3839551,yellow,85,away,Ammar Sjekirica,,
3839551,substitution,85,away,Peter Kozissnik,,
3839551,substitution,U21,home,,Lorenz Stadler,
3839551,substitution,U22,home,,Maximilian Straif,
3839551,substitution,U21,home,,Elias Zaki,
3839551,substitution,U21,away,,Martin Murg,
